WP Title,Result type (outcome or output),Result Short title,Result Statement,Result Type,Responsible Organization,Partners,Outcome actor type,Outcome actor type of change,Outcome: Is actor a partner?,Qualitative: minimum level of success,Qualitative: moderate level of success,Qualitative: maximum level of success,Location,Country,Region,Indicator,Type,Unit of measurement,Data source,Data collection method,Data collection frequency,Location.1,Country.1,Region.1,Baseline value,Baseline date,Target value,Target date,Source_File,Function Title,Module Title,Topic
Work Package 4 Strengthening the policy and institutional enabling environment,OUTCOME,4.1. National and regional policymakers and sectoral organization representatives co-develop and promote recommendations to effectuate the horizontal (across-sectors) and vertical/(across-scales) policy integration required to mainstream agroecological principles ,4.1. National and regional policymakers and sectoral organization representatives co-develop and promote recommendations to effectuate the horizontal (across-sectors) and vertical/(across-scales) policy integration required to mainstream agroecological principles ,Other,International Food Policy Research Institute,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers, Farmers’ associations, university, research institution","change in relationship, change in behavior/practice",Yes,Engagement,Co-design,Formulation,country,"Burkina Faso, Tunisia, Senegal, Zimbabwe, Lao People's Democratic Republic, Peru, India, Kenya",,Number of recommendations co-developed to effectuate the horizontal (across-sectors) and vertical/(across-scales) policy integration required to mainstream agroecological principles ,Other quantitative measure of CGIAR innovation use (e.g. area),Number,,,,global,,,0,01/04/2022,4,31/12/2024,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,3
Work Package 4 Strengthening the policy and institutional enabling environment,OUTCOME,"4.2. Local organizations and authorities co-develop, strengthen, or adjust local institutions and governance mechanisms to better support agroecological transitions in each ALL ","4.2. Local organizations and authorities co-develop, strengthen, or adjust local institutions and governance mechanisms to better support agroecological transitions in each ALL ",Other,International Food Policy Research Institute,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO)","change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice, Change in policy",Yes,Engagement,Codesign,Testing,country,"India, Peru, Lao People's Democratic Republic, Senegal, Burkina Faso, Zimbabwe, Tunisia, Kenya",,Number of local institutions and governance mechanisms to better support agroecological transitions in each ALL adjusted,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,country,,,0,01/04/2022,4,01/01/2025,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,3
Work Package 5 Understanding and influencing agency and behaviour change,OUTCOME,"5. Scientists, funders, policymakers, business partners, and civil society re-orient or adjust their strategies and action plans based on knowledge gained from scientific studies underpinning behavioral change mechanisms and capacities of farmers, business partners, and consumers to implement agroecological transformation. ","5. Scientists, funders, policymakers, business partners, and civil society re-orient or adjust their strategies and action plans based on knowledge gained from scientific studies underpinning behavioral change mechanisms and capacities of farmers, business partners, and consumers to implement agroecological transformation. ",Uptake of information product,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers, Farmers’ associations, research institution, donor, intergovernmental organization ","change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice, Change in policy",Yes,Engagement,Co-design,Behavioral change,country,,,Number of strategies or action plans adjusted,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,,,,global,,,0,31/12/2022,7,31/12/2024,"INIT-31 - Transformational Agroecology across Food, Land, and Water systems.xlsx",,,-1
Work Package 1 Consumers and their food environments,OUTCOME,1.1 Stakeholders are aware of evidence,Key stakeholders are aware of evidence on challenges and opportunities to increase consumption of sustainable healthy diets for all.,Other,,,,,Yes,,,,country,"Ethiopia, The Socialist Republic of Viet Nam",,Number of engagement activities and/or actions.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,2,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
Work Package 1 Consumers and their food environments,OUTCOME,1.2 Stakeholders are willing to use evidence ,"Key stakeholders are willing to use evidence to co-design, test, or evaluate solutions (innovations or policies) to increase consumption of sustainable healthy diets for all.",Other,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, Ethiopia",,Number of engagement activities and/or actions. ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,2,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
"Work Package 2 Micro, small, and medium enterprises (MSMEs) and the informal sector",OUTCOME,2.1 Stakeholders are aware of evidence,Key stakeholders are aware of evidence on challenges and opportunities for MSMEs and the informal sector to deliver sustainable nutritious foods and/or provide decent employment opportunities for women and youth.,Other,,,,,Yes,,,,country,"Ethiopia, The Socialist Republic of Viet Nam",,Number of engagement activities and/or actions,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,2,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
"Work Package 2 Micro, small, and medium enterprises (MSMEs) and the informal sector",OUTCOME,2.2 Stakeholders are willing to use evidence,"Key stakeholders are willing to use evidence to co-design, test, or evaluate solutions (innovations or policies) for MSMEs and the informal sector to deliver sustainable nutritious foods and/or provide decent employment opportunities for women and youth.",Other,,,,,Yes,,,,country,"The Socialist Republic of Viet Nam, Ethiopia",,Number of engagement activities and/or actions.,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,2,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
Work Package 3 Governance and inclusive food systems,OUTCOME,"3.1 Stakeholders are aware of issues, barriers, and lock-ins to food systems transformation",Key stakeholders are aware of political economy issues and specific country barriers and lock-ins to food systems transformation.,Other,,,,,Yes,,,,country,"Honduras, The Socialist Republic of Viet Nam, Ethiopia",,Number of engagement activities and/or actions.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,3,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
Work Package 3 Governance and inclusive food systems,OUTCOME,3.2 Stakeholders are willing to engage in collectively developed solutions,Key stakeholders are willing to engage in collectively developed solutions for food systems transformation.,Other,,,,,Yes,,,,country,"Honduras, The Socialist Republic of Viet Nam, Ethiopia",,Number of engagement activities and/or actions.,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,3,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
Work Package 4 Trade-off scenario analysis,OUTCOME,4.1 Stakeholders are aware of trade-offs among outcomes of food systems transformation ,Key stakeholders are aware of key trade-offs among outcomes of food systems transformation in their countries,Other,,,,,Yes,,,,country,"Ethiopia, The Socialist Republic of Viet Nam, Bangladesh",,Number of engagement activities and/or actions.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,3,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
Work Package 4 Trade-off scenario analysis,OUTCOME,4.2 Stakeholders demand use of decision-support tools to navigate trade-offs,"Key stakeholders demand use of decision-support tools to navigate trade-offs in a fairer, more inclusive and more equitable way.",Other,,,,,Yes,,,,country,"Ethiopia, Bangladesh, The Socialist Republic of Viet Nam",,Number of engagement activities and/or actions.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Project reports,Annual reporting,Annual,country,,,0,02/01/2022,1,01/01/2025,INIT-30 - Sustainable Healthy Diets through Food Systems Transformation.xlsx,,,16
